run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
144,559,161,161,NEW_ORDER,0,0,0
144,559,283,283,NEW_ORDER,0,0,0
144,559,0,0,DELIVERY,0,0,0
144,562,145,145,NEW_ORDER,0,0,0
144,562,118,117,DELIVERY_BG,0,0,0
144,562,105,105,PAYMENT,0,0,0
144,562,255,255,NEW_ORDER,0,0,0
144,581,78,78,PAYMENT,0,0,0
144,581,337,337,PAYMENT,0,0,0
144,586,142,142,NEW_ORDER,0,0,0
144,586,120,120,NEW_ORDER,0,0,0
144,586,188,188,NEW_ORDER,0,0,0
144,586,544,544,PAYMENT,0,0,0
144,586,55,55,PAYMENT,0,0,0
144,586,118,118,PAYMENT,0,0,0
144,586,170,170,NEW_ORDER,0,0,0
144,586,141,141,NEW_ORDER,0,0,0
144,586,83,83,PAYMENT,0,0,0
144,586,83,83,PAYMENT,0,0,0
144,586,121,121,PAYMENT,0,0,0
144,586,222,222,PAYMENT,0,0,0
144,587,58,58,PAYMENT,0,0,0
144,588,67,67,PAYMENT,0,0,0
144,588,29,29,PAYMENT,0,0,0
144,588,128,128,NEW_ORDER,0,0,0
144,591,204,204,PAYMENT,0,0,0
144,591,0,0,DELIVERY,0,0,0
144,597,94,94,PAYMENT,0,0,0
144,617,219,219,NEW_ORDER,0,0,0
144,617,433,433,NEW_ORDER,0,0,0
144,617,172,172,NEW_ORDER,0,0,0
144,617,58,58,PAYMENT,0,0,0
144,617,58,58,PAYMENT,0,0,0
144,617,206,206,NEW_ORDER,0,0,0
144,617,30,30,PAYMENT,0,0,0
144,617,200,200,PAYMENT,0,0,0
144,617,152,152,NEW_ORDER,0,0,0
144,617,58,58,NEW_ORDER,0,0,0
144,617,113,113,PAYMENT,0,0,0
144,617,204,204,PAYMENT,0,0,0
144,618,37,37,PAYMENT,0,0,0
144,630,43,43,PAYMENT,0,0,0
144,639,52,52,PAYMENT,0,0,0
144,639,252,252,NEW_ORDER,0,0,0
144,639,110,110,PAYMENT,0,0,0
144,639,241,241,PAYMENT,0,0,0
144,639,0,0,DELIVERY,0,0,0
144,639,0,0,DELIVERY,0,0,0
144,640,280,280,NEW_ORDER,0,0,0
144,640,174,174,PAYMENT,0,0,0
144,640,52,52,NEW_ORDER,0,0,0
144,640,53,53,PAYMENT,0,0,0
144,640,300,300,NEW_ORDER,0,0,0
144,640,111,111,NEW_ORDER,0,0,0
144,640,195,195,NEW_ORDER,0,0,0
144,642,80,80,ORDER_STATUS,0,0,0
144,645,58,58,PAYMENT,0,0,0
144,666,163,163,PAYMENT,0,0,0
144,666,201,201,NEW_ORDER,0,0,0
144,666,137,137,NEW_ORDER,0,0,0
144,666,163,163,NEW_ORDER,0,0,0
144,666,49,49,PAYMENT,0,0,0
144,666,163,163,NEW_ORDER,0,0,0
144,666,165,165,NEW_ORDER,0,0,0
144,666,78,78,PAYMENT,0,0,0
144,666,0,0,DELIVERY,0,0,0
144,666,280,280,NEW_ORDER,0,0,0
144,666,107,107,PAYMENT,0,0,0
144,666,48,48,PAYMENT,0,0,0
144,666,290,290,PAYMENT,0,0,0
144,667,0,0,DELIVERY,0,0,0
144,673,208,208,NEW_ORDER,0,0,0
144,677,637,637,NEW_ORDER,0,0,0
144,677,90,90,PAYMENT,0,0,0
144,677,212,212,NEW_ORDER,0,0,0
144,677,115,115,PAYMENT,0,0,0
144,677,148,148,NEW_ORDER,0,0,0
144,677,90,90,NEW_ORDER,0,0,0
144,677,211,211,PAYMENT,0,0,0
144,677,130,130,NEW_ORDER,0,0,0
144,679,150,150,PAYMENT,0,0,0
144,679,62,62,PAYMENT,0,0,0
144,679,150,150,NEW_ORDER,0,0,0
144,679,117,117,NEW_ORDER,0,0,0
144,679,39,39,NEW_ORDER,0,0,0
144,680,62,62,NEW_ORDER,0,0,0
144,680,0,0,DELIVERY,0,0,0
144,680,62,62,PAYMENT,0,0,0
144,680,62,62,NEW_ORDER,0,0,0
144,682,64,64,PAYMENT,0,0,0
144,696,79,79,PAYMENT,0,0,0
144,711,208,208,NEW_ORDER,0,0,0
144,711,208,208,NEW_ORDER,0,0,0
144,711,44,44,PAYMENT,0,0,0
144,711,488,488,PAYMENT,0,0,0
144,711,152,152,NEW_ORDER,0,0,0
144,711,152,152,NEW_ORDER,0,0,0
144,711,182,182,PAYMENT,0,0,0
144,711,208,208,NEW_ORDER,0,0,0
144,711,71,71,PAYMENT,0,0,0
144,711,44,44,PAYMENT,0,0,0
144,712,0,0,DELIVERY,0,0,0
144,712,444,444,NEW_ORDER,0,0,0
144,712,0,0,DELIVERY,0,0,0
144,716,215,215,NEW_ORDER,0,0,0
144,720,40,40,PAYMENT,0,0,0
144,720,133,133,PAYMENT,0,0,0
144,720,161,161,PAYMENT,0,0,0
144,728,131,131,NEW_ORDER,0,0,0
144,728,51,51,PAYMENT,0,0,0
144,728,110,110,PAYMENT,0,0,0
144,728,48,48,PAYMENT,0,0,0
144,728,315,315,NEW_ORDER,0,0,0
144,729,200,200,NEW_ORDER,0,0,0
144,732,20,20,PAYMENT,0,0,0
144,732,55,55,NEW_ORDER,0,0,0
144,732,12,12,PAYMENT,0,0,0
144,734,175,175,NEW_ORDER,0,0,0
144,734,22,22,PAYMENT,0,0,0
144,734,147,147,PAYMENT,0,0,0
144,734,51,51,PAYMENT,0,0,0
144,734,103,103,PAYMENT,0,0,0
144,736,149,149,PAYMENT,0,0,0
144,737,119,119,NEW_ORDER,0,0,0
144,743,155,155,NEW_ORDER,1,0,0
144,743,102,102,NEW_ORDER,0,0,0
144,744,102,102,NEW_ORDER,0,0,0
144,744,16,16,PAYMENT,0,0,0
144,744,9,9,PAYMENT,0,0,0
144,746,243,243,PAYMENT,0,0,0
144,750,22,22,PAYMENT,0,0,0
144,750,317,317,PAYMENT,0,0,0
144,754,251,251,NEW_ORDER,0,0,0
144,754,88,88,NEW_ORDER,0,0,0
144,754,136,136,PAYMENT,0,0,0
144,754,77,77,NEW_ORDER,0,0,0
144,755,26,26,PAYMENT,0,0,0
144,755,78,78,NEW_ORDER,0,0,0
144,758,227,227,NEW_ORDER,0,0,0
144,759,92,92,DELIVERY_BG,0,0,0
144,759,92,92,PAYMENT,0,0,0
144,759,15,15,PAYMENT,0,0,0
144,762,95,95,PAYMENT,0,0,0
144,765,125,125,PAYMENT,0,0,0
144,766,22,22,PAYMENT,0,0,0
144,766,33,33,NEW_ORDER,0,0,0
144,766,126,126,PAYMENT,0,0,0
144,766,179,179,PAYMENT,0,0,0
144,766,55,55,NEW_ORDER,0,0,0
144,766,126,126,NEW_ORDER,0,0,0
144,766,33,33,PAYMENT,0,0,0
144,776,110,110,PAYMENT,0,0,0
144,782,164,164,NEW_ORDER,0,0,0
144,782,16,16,PAYMENT,0,0,0
144,782,54,54,PAYMENT,0,0,0
144,782,102,102,NEW_ORDER,0,0,0
144,782,115,115,NEW_ORDER,0,0,0
144,782,36,36,PAYMENT,0,0,0
144,783,49,49,NEW_ORDER,0,0,0
144,783,0,0,DELIVERY,0,0,0
144,785,119,119,NEW_ORDER,0,0,0
144,785,19,19,PAYMENT,0,0,0
144,786,20,20,PAYMENT,0,0,0
144,786,74,74,PAYMENT,0,0,0
144,787,75,75,NEW_ORDER,0,0,0
144,787,120,120,PAYMENT,0,0,0
144,788,76,76,NEW_ORDER,0,0,0
144,788,108,108,PAYMENT,0,0,0
144,788,29,29,PAYMENT,0,0,0
144,790,31,31,PAYMENT,0,0,0
144,795,118,118,NEW_ORDER,0,0,0
144,800,38,38,PAYMENT,0,0,0
144,800,88,88,NEW_ORDER,0,0,0
144,800,46,46,NEW_ORDER,0,0,0
144,800,18,18,PAYMENT,0,0,0
144,805,567,567,PAYMENT,0,0,0
